Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top3,0.6842829301845694,0.6200000000000003,0.606023606023606
MFCC,SVM,0.678082992402104,0.7,0.6021571021571022
MFCC,Logistic Regression,0.6608964805686117,0.57,0.6015466015466016
Fusion_PCA,Logistic Regression,0.6584821428571428,0.57,0.6267806267806268
MFCC,Random Forest,0.6129464285714286,0.58,0.5368335368335369
Fusion_PCA,SVM,0.6125549780087964,0.47,0.6381766381766381
Fusion_PCA,Random Forest,0.6085287846481876,0.55,0.5873015873015874
Spectrogram,SVM,0.6029411764705883,0.55,0.4997964997964998
Spectrogram,Logistic Regression,0.5865546218487395,0.5,0.5229955229955231
Fusion_PCA,XGBoost,0.5778478517934569,0.51,0.549043549043549
Spectrogram,Random Forest,0.5677519379844961,0.52,0.5612535612535612
Spectrogram,XGBoost,0.5433455433455434,0.63,0.5372405372405373
Wav2Vec_Full,Logistic Regression,0.5255813953488373,0.55,0.4586894586894587
Wav2Vec_Full,Random Forest,0.5248447204968945,0.36,0.4932844932844933
MFCC,XGBoost,0.5225885225885225,0.68,0.47089947089947093
Wav2Vec_Full,XGBoost,0.5203761755485893,0.44,0.4595034595034595
Wav2Vec_Full,SVM,0.5067698259187621,0.33,0.512006512006512
