Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top2,0.68125,0.5900000000000003,0.5934065934065935
Ensemble,Top3,0.68125,0.5900000000000003,0.6043956043956045
MFCC,SVM,0.678082992402104,0.7,0.6021571021571022
Ensemble,Top4,0.6640316205533596,0.5600000000000003,0.5889295889295889
MFCC,Logistic Regression,0.6608964805686117,0.57,0.6015466015466016
Fusion_All,SVM,0.6480184042664436,0.55,0.6125356125356125
MFCC,Random Forest,0.6129464285714286,0.58,0.5368335368335369
Fusion_All,Logistic Regression,0.6092741935483872,0.54,0.5620675620675621
Fusion_All,Random Forest,0.6053539684199518,0.49,0.5734635734635735
Spectrogram,SVM,0.6029411764705883,0.55,0.4997964997964998
Fusion_All,XGBoost,0.6003134796238244,0.48,0.5518925518925519
Spectrogram,Logistic Regression,0.5865546218487395,0.5,0.5229955229955231
Spectrogram,Random Forest,0.5677519379844961,0.52,0.5612535612535612
Spectrogram,XGBoost,0.5433455433455434,0.63,0.5372405372405373
Wav2Vec_Full,Logistic Regression,0.5255813953488373,0.55,0.4586894586894587
Wav2Vec_Full,Random Forest,0.5248447204968945,0.36,0.4932844932844933
MFCC,XGBoost,0.5225885225885225,0.68,0.47089947089947093
Wav2Vec_Full,XGBoost,0.5203761755485893,0.44,0.4595034595034595
Wav2Vec_Full,SVM,0.5067698259187621,0.33,0.512006512006512
